column_position,column_name,column_type,null,key,default,extra
190,Residence Hall/Dormitory - Gross Floor Area (ft²),VARCHAR,YES,,,
191,Refrigerated Warehouse - Gross Floor Area (ft²),VARCHAR,YES,,,
192,Non-Refrigerated Warehouse - Gross Floor Area (ft²),VARCHAR,YES,,,
193,Office - Gross Floor Area (ft²),VARCHAR,YES,,,
194,Office - Number of Computers,VARCHAR,YES,,,
195,Office - Number of Workers on Main Shift,VARCHAR,YES,,,
196,Office - Percent That Can Be Cooled,VARCHAR,YES,,,
197,Office - Percent That Can Be Heated,VARCHAR,YES,,,
198,Office - Weekly Operating Hours,VARCHAR,YES,,,
199,"Office - Worker Density (Number per 1,000 sq ft)",VARCHAR,YES,,,
200,Other - Gross Floor Area (ft²),VARCHAR,YES,,,
201,Museum - Gross Floor Area (ft²),VARCHAR,YES,,,
202,Performing Arts - Gross Floor Area (ft²),VARCHAR,YES,,,
203,Parking - Gross Floor Area (ft²),VARCHAR,YES,,,
204,Parking - Open Parking Lot Size (ft²),VARCHAR,YES,,,
205,Parking - Completely Enclosed Parking Garage Size (ft²),VARCHAR,YES,,,
206,Parking - Partially Enclosed Parking Garage Size (ft²),VARCHAR,YES,,,
207,Restaurant - Gross Floor Area (ft²),VARCHAR,YES,,,
208,Restaurant - Weekly Operating Hours,VARCHAR,YES,,,
209,"Restaurant - Worker Density (Number per 1,000 sq ft)",VARCHAR,YES,,,
210,Retail Store - Gross Floor Area (ft²),VARCHAR,YES,,,
211,Retail Store - Number of Walk-in Refrigeration/Freezer Units,VARCHAR,YES,,,
212,Retail Store - Number of Open or Closed Refrigeration/Freezer Units,VARCHAR,YES,,,
213,Self-Storage Facility - Gross Floor Area (ft²),VARCHAR,YES,,,
214,Senior Living Community - Gross Floor Area (ft²),VARCHAR,YES,,,
215,"Senior Living Community - Living Unit Density (Number per 1,000 sq ft)",VARCHAR,YES,,,
216,Social/Meeting Hall - Gross Floor Area (ft²),VARCHAR,YES,,,
217,Supermarket/Grocery - Gross Floor Area (ft²),VARCHAR,YES,,,
218,Supermarket/Grocery - Number of Walk-in Refrigeration/Freezer Units,VARCHAR,YES,,,
219,Supermarket/Grocery - Number of Open or Closed Refrigeration/Freezer Units,VARCHAR,YES,,,
220,Wholesale Club/Supercenter- Gross Floor Area (ft²),VARCHAR,YES,,,
221,Wholesale Club/Supercenter- Exterior Entrance to the Public,VARCHAR,YES,,,
222,Wastewater Treatment Plant - Gross Floor Area (ft²),VARCHAR,YES,,,
223,Worship Facility - Gross Floor Area (ft²),VARCHAR,YES,,,
224,Strip Mall - Gross Floor Area (ft²),VARCHAR,YES,,,
225,Property GFA - Self-Reported (ft²),VARCHAR,YES,,,
226,Property GFA - Calculated (Buildings and Parking) (ft²),VARCHAR,YES,,,
227,Property GFA - Calculated (Buildings) (ft²),VARCHAR,YES,,,
228,Property GFA - Calculated (Parking) (ft²),VARCHAR,YES,,,
229,Property Notes,VARCHAR,YES,,,
230,Water Use (All Water Sources) (kgal),VARCHAR,YES,,,
231,Indoor Water Use (All Water Sources) (kgal),VARCHAR,YES,,,
232,Outdoor Water Use (All Water Sources) (kgal),VARCHAR,YES,,,
233,Municipally Supplied Potable Water - Mixed Indoor/Outdoor Use (kgal),VARCHAR,YES,,,
234,Municipally Supplied Potable Water - Total Use (All Meter Types) (kgal),VARCHAR,YES,,,
235,Municipally Supplied Potable Water - Indoor Use (kgal),VARCHAR,YES,,,
236,Municipally Supplied Potable Water - Outdoor Use (kgal),VARCHAR,YES,,,
237,Third Party Certification,VARCHAR,YES,,,
238,Third Party Certification Date Anticipated,VARCHAR,YES,,,
239,Third Party Certification Date Achieved,VARCHAR,YES,,,
240,Data Quality Checker Run?,VARCHAR,YES,,,
241,Data Quality Checker - Date Run,VARCHAR,YES,,,
242,Last Modified Date - Property,VARCHAR,YES,,,
